id,parent_id,name_ar,name_en,name_bn,name_de,name_es,name_fr,name_id,name_ml,name_pt,name_ru,name_ta,name_tr,name_ur,name_zh,name_hi,name_it,name_fa,name_am,name_az,name_bs,name_cs,name_ha,name_ku,name_nl,name_ps,name_ro,name_si,name_so,name_sq,name_sv,name_sw,name_tg,name_th,name_ug,name_uz,name_vi,name_yo,slug
1987,138,وجوب الحج والعمرة وحكم تاركهما,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,,,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,,,,Obligation of Hajj and ‘Umrah and Ruling of Its Abandoner,,,,,,,,,,,,,,,,,,,,,obligation-of-hajj-and-‘umrah-and-ruling-of-its-abandoner
1988,138,فضل الحج والعمرة,Virtue of Hajj and Umrah,,Virtue of Hajj and Umrah,Virtue of Hajj and Umrah,Virtue of Hajj and Umrah,Virtue of Hajj and Umrah,,,Virtue of Hajj and Umrah,,Virtue of Hajj and Umrah,Virtue of Hajj and Umrah,,,,Virtue of Hajj and Umrah,,,,,,,,,,,,,,,,,,,,,virtue-of-hajj-and-umrah
1989,138,العشر من ذي الحجة,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),First Ten Days of Dhul Hijjah (Twelfth Lunar Month),First Ten Days of Dhul Hijjah (Twelfth Lunar Month),First Ten Days of Dhul Hijjah (Twelfth Lunar Month),,,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),First Ten Days of Dhul Hijjah (Twelfth Lunar Month),,,,First Ten Days of Dhul Hijjah (Twelfth Lunar Month),,,,,,,,,,,,,,,,,,,,,first-ten-days-of-dhul-hijjah-twelfth-lunar-month
1990,138,أحكام المسجد الحرام والمسجد النبوي وبيت المقدس,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,,,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,,,,Rulings of Al-Masjid Al-Haraam; the Prophet's Mosque; and the Aqsa Mosque,,,,,,,,,,,,,,,,,,,,,rulings-of-al-masjid-al-haraam;-the-prophets-mosque;-and-the-aqsa-mosque
1991,138,أحكام الإحرام,Rulings of Ihraam (the Ritual State of Consecration),,Rulings of Ihraam (the Ritual State of Consecration),Rulings of Ihraam (the Ritual State of Consecration),Rulings of Ihraam (the Ritual State of Consecration),Rulings of Ihraam (the Ritual State of Consecration),,,Rulings of Ihraam (the Ritual State of Consecration),,Rulings of Ihraam (the Ritual State of Consecration),Rulings of Ihraam (the Ritual State of Consecration),,,,Rulings of Ihraam (the Ritual State of Consecration),,,,,,,,,,,,,,,,,,,,,rulings-of-ihraam-the-ritual-state-of-consecration
1992,138,محظورات الإحرام,Prohibitions of Ihraam,,Prohibitions of Ihraam,Prohibitions of Ihraam,Prohibitions of Ihraam,Prohibitions of Ihraam,,,Prohibitions of Ihraam,,Prohibitions of Ihraam,Prohibitions of Ihraam,,,,Prohibitions of Ihraam,,,,,,,,,,,,,,,,,,,,,prohibitions-of-ihraam
1993,138,الفدية وجزاء الصيد,Ransom and Hunting Expiation,,Ransom and Hunting Expiation,Ransom and Hunting Expiation,Ransom and Hunting Expiation,Ransom and Hunting Expiation,,,Ransom and Hunting Expiation,,Ransom and Hunting Expiation,Ransom and Hunting Expiation,,,,Ransom and Hunting Expiation,,,,,,,,,,,,,,,,,,,,,ransom-and-hunting-expiation
1994,138,أنواع النسك,Types of Rituals (Pilgrimage),,Types of Rituals (Pilgrimage),Types of Rituals (Pilgrimage),Types of Rituals (Pilgrimage),Types of Rituals (Pilgrimage),,,Types of Rituals (Pilgrimage),,Types of Rituals (Pilgrimage),Types of Rituals (Pilgrimage),,,,Types of Rituals (Pilgrimage),,,,,,,,,,,,,,,,,,,,,types-of-rituals-pilgrimage
1995,138,واجبات العمرة,Obligations of ‘Umrah,,Obligations of ‘Umrah,Obligations of ‘Umrah,Obligations of ‘Umrah,Obligations of ‘Umrah,,,Obligations of ‘Umrah,,Obligations of ‘Umrah,Obligations of ‘Umrah,,,,Obligations of ‘Umrah,,,,,,,,,,,,,,,,,,,,,obligations-of-‘umrah
1996,138,صفة الحج,How to Make Hajj (Pilgrimage),,How to Make Hajj (Pilgrimage),How to Make Hajj (Pilgrimage),How to Make Hajj (Pilgrimage),How to Make Hajj (Pilgrimage),,,How to Make Hajj (Pilgrimage),,How to Make Hajj (Pilgrimage),How to Make Hajj (Pilgrimage),,,,How to Make Hajj (Pilgrimage),,,,,,,,,,,,,,,,,,,,,how-to-make-hajj-pilgrimage
